date;Filière de production;Plage de puissance injection;Total
2018-01-04;F0 : Total toutes filières;P3 : ]9 - 100] kW;1239310693
2018-01-04;F0 : Total toutes filières;P4 : ]100 - 250] kW;2279274699
2018-01-04;F0 : Total toutes filières;P5 : ]250 - 1000] kW;5684274679
2018-01-04;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;227255834480
2018-01-04;F0 : Total toutes filières;P7 : > 12000 kW;25253388151
2018-01-04;F1 : Thermique non renouvelable;P0 : Total toutes puissances;38535239621
2018-01-04;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-04;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-04;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-04;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28102987
2018-01-04;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;762513145
2018-01-04;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;37579332145
2018-01-04;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-04;F2 : Bioénergies;P0 : Total toutes puissances;14867590844
2018-01-04;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-04;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-04;F2 : Bioénergies;P3 : ]9 - 100] kW;65910678
2018-01-04;F2 : Bioénergies;P4 : ]100 - 250] kW;780194147
2018-01-04;F2 : Bioénergies;P5 : ]250 - 1000] kW;1147591813
2018-01-04;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10697399478
2018-01-04;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-04;F3 : Hydraulique;P0 : Total toutes puissances;13904545299
2018-01-04;F3 : Hydraulique;P1 : ]0 - 3] kW;943090582
2018-01-04;F3 : Hydraulique;P2 : ]3 - 9] kW;773494
2018-01-04;F3 : Hydraulique;P3 : ]9 - 100] kW;183502426
2018-01-04;F3 : Hydraulique;P4 : ]100 - 250] kW;811055290
2018-01-04;F3 : Hydraulique;P5 : ]250 - 1000] kW;3463799638
2018-01-04;F3 : Hydraulique;P6 : ]1000 - 12000] kW;7259774976
